Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes,Weight_Unit
2025-06-02,5:51,barbell squat,low bar,Strength,1.0,10.0,185.0,,kg
2025-06-02,,barbell squat,low bar,Strength,2.0,5.0,225.0,,kg
2025-06-02,,barbell squat,low bar,Strength,3.0,5.0,275.0,,kg
2025-06-02,,leg curls,lying,Strength,1.0,3.0,6.0,,level
2025-06-02,,leg curls,lying,Strength,2.0,3.0,7.0,,level
2025-06-02,,leg press,,Strength,1.0,4.0,295.0,,kg
2025-06-02,,leg press,,Strength,2.0,3.0,295.0,,kg
2025-06-02,,leg press,,Strength,3.0,4.0,295.0,,kg
2025-06-03,8:58,bench press,flat,,1.0,6.0,45.0,,kg
2025-06-03,,bench press,flat,,2.0,5.0,185.0,,kg
2025-06-03,,bench press,flat,,3.0,3.0,185.0,,kg
2025-06-03,,bench press,flat,,4.0,12.0,135.0,,kg
2025-06-03,,lever seated row,,,1.0,10.0,10.0,,level
2025-06-03,,lever seated row,,,2.0,6.0,10.0,,level
2025-06-03,,lever seated row,,,3.0,12.0,11.0,,level
2025-06-03,,lever seated row,,,4.0,12.0,5.0,,level
2025-06-03,,lever seated row,,,5.0,12.0,6.0,,level
2025-06-03,,lever seated row,,,6.0,9.0,10.0,,level
2025-06-03,,seated chest fly,,,1.0,5.0,180.0,,kg
2025-06-03,,seated chest fly,,,2.0,6.0,100.0,,kg
2025-06-03,,seated chest fly,,,3.0,4.0,100.0,,kg
2025-06-03,,seated chest fly,,,4.0,5.0,100.0,,kg
2025-06-03,,dips,,,1.0,3.0,0.0,,kg
2025-06-03,,dips,,,2.0,2.0,0.0,,kg
2025-06-03,,,,,,,80.0,,kg
2025-06-03,,,,,,,,,kg
2025-06-03,,lat pulldown,wide,,,,,,level
2025-08-02,,barbell squat,low bar,,1.0,5.0,115.0,,kg
2025-08-02,,barbell squat,low bar,,2.0,15.0,235.0,,kg
2025-08-02,,barbell squat,low bar,,3.0,10.0,235.0,,kg
2025-08-02,,barbell squat,low bar,,4.0,10.0,235.0,,kg
2025-08-02,,barbell squat,low bar,,5.0,10.0,235.0,,kg
2025-08-02,,calf raise,,,1.0,15.0,245.0,,kg
2025-08-02,,calf raise,,,2.0,10.0,245.0,,kg
2025-08-02,,leg curls,lying,,1.0,5.0,7.0,,level
