Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes
2025-06-02,5:51,Barbell Squat,Low Bar,Strength,1,10,185,
2025-06-02,,Barbell Squat,Low Bar,Strength,2,5,225,
2025-06-02,,Barbell Squat,Low Bar,Strength,3,5,275,
2025-06-02,,Leg curls,Lying,Strength,1,3,6,
2025-06-02,,Leg curls,Lying,Strength,2,3,7,
2025-06-02,,Hack raw,,Strength,1,4,295,
2025-06-02,,Hack raw,,Strength,2,3,295,
2025-06-02,,Hack raw,,Strength,3,4,295,
,,,,,,,,
2025-06-03,8:58,Bench press,,,1,6,45,
2025-06-03,,Bench press,,,2,5,185,
2025-06-03,,Bench press,,,3,3,185,
2025-06-03,,Bench press,,,4,12,135,
2025-06-03,,lever seated row,,,1,10,10,
2025-06-03,,lever seated row,,,2,6,10,
2025-06-03,,lever seated row,,,3,12,11,
2025-06-03,,lever seated row,,,4,12,5,
2025-06-03,,lever seated row,,,5,12,6,
2025-06-03,,lever seated row,,,6,9,10,
2025-06-03,,chest fly,,,1,5,180,
2025-06-03,,chest fly,,,2,6,100,
2025-06-03,,chest fly,,,3,4,100,
2025-06-03,,chest fly,,,4,5,100,
2025-06-03,,Dip,,,1,3,0,
2025-06-03,,Dip,,,2,2,0,
2025-06-03,,,,,,,80,
2025-06-03,,,,,,,,
2025-06-03,,Lat pulldown,Wide-grip,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2025-08-02,,Barbell Squat,Low Bar,,1,5,115,
2025-08-02,,Barbell Squat,Low Bar,,2,15,235,
2025-08-02,,Barbell Squat,Low Bar,,3,10,235,
2025-08-02,,Barbell Squat,Low Bar,,4,10,235,
2025-08-02,,Barbell Squat,Low Bar,,5,10,235,
2025-08-02,,Leg press calf raise,,,1,15,245,
2025-08-02,,Leg press calf raise,,,2,10,245,
2025-08-02,,Leg curls,Lying,,1,5,7,
2025-08-02,,Leg curls,Lying,,2,5,9,
2025-08-02,,Leg curls,Lying,,3,3,10,
2025-08-02,,Leg curls,Lying,,4,5,9,
2025-08-02,,Leg curls,Lying,,5,5,9,
