Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes,Weight_Unit
2025-06-02,5:51,barbell squat,low bar,strength,1.0,10.0,185.0,,lb
2025-06-02,,barbell squat,low bar,strength,2.0,5.0,225.0,,lb
2025-06-02,,barbell squat,low bar,strength,3.0,5.0,275.0,,lb
2025-06-02,,leg curls,lying,strength,1.0,3.0,6.0,,level
2025-06-02,,leg curls,lying,strength,2.0,3.0,7.0,,level
2025-06-02,,leg press,nan,strength,1.0,4.0,295.0,,lb
2025-06-02,,leg press,nan,strength,2.0,3.0,295.0,,lb
2025-06-02,,leg press,nan,strength,3.0,4.0,295.0,,lb
,,nan,nan,nan,,,,,lb
2025-06-03,8:58,bench press,flat,nan,1.0,6.0,45.0,,lb
2025-06-03,,bench press,flat,nan,2.0,5.0,185.0,,lb
2025-06-03,,bench press,flat,nan,3.0,3.0,185.0,,lb
2025-06-03,,bench press,flat,nan,4.0,12.0,135.0,,lb
2025-06-03,,lever seated row,nan,nan,1.0,10.0,10.0,,level
2025-06-03,,lever seated row,nan,nan,2.0,6.0,10.0,,level
2025-06-03,,lever seated row,nan,nan,3.0,12.0,11.0,,level
2025-06-03,,lever seated row,nan,nan,4.0,12.0,5.0,,level
2025-06-03,,lever seated row,nan,nan,5.0,12.0,6.0,,level
2025-06-03,,lever seated row,nan,nan,6.0,9.0,10.0,,level
2025-06-03,,seated chest fly,nan,nan,1.0,5.0,180.0,,lb
2025-06-03,,seated chest fly,nan,nan,2.0,6.0,100.0,,lb
2025-06-03,,seated chest fly,nan,nan,3.0,4.0,100.0,,lb
2025-06-03,,seated chest fly,nan,nan,4.0,5.0,100.0,,lb
2025-06-03,,dips,nan,nan,1.0,3.0,0.0,,lb
2025-06-03,,dips,nan,nan,2.0,2.0,0.0,,lb
2025-06-03,,nan,nan,nan,,,80.0,,lb
2025-06-03,,nan,nan,nan,,,,,lb
2025-06-03,,lat pulldown,wide,nan,,,,,level
,,nan,nan,nan,,,,,lb
,,nan,nan,nan,,,,,lb
,,nan,nan,nan,,,,,lb
2025-08-02,,barbell squat,low bar,nan,1.0,5.0,115.0,,lb
2025-08-02,,barbell squat,low bar,nan,2.0,15.0,235.0,,lb
2025-08-02,,barbell squat,low bar,nan,3.0,10.0,235.0,,lb
2025-08-02,,barbell squat,low bar,nan,4.0,10.0,235.0,,lb
2025-08-02,,barbell squat,low bar,nan,5.0,10.0,235.0,,lb
2025-08-02,,calf raise,nan,nan,1.0,15.0,245.0,,lb
2025-08-02,,calf raise,nan,nan,2.0,10.0,245.0,,lb
2025-08-02,,leg curls,lying,nan,1.0,5.0,7.0,,level
2025-08-02,,leg curls,lying,nan,2.0,5.0,9.0,,level
2025-08-02,,leg curls,lying,nan,3.0,3.0,10.0,,level
2025-08-02,,leg curls,lying,nan,4.0,5.0,9.0,,level
2025-08-02,,leg curls,lying,nan,5.0,5.0,9.0,,level
2025-08-02,,leg curls,lying,nan,6.0,5.0,9.0,,level
2025-08-02,,leg curls,lying,nan,7.0,3.0,9.0,,level
2025-08-02,,leg extension,seated,nan,1.0,5.0,9.0,,level
2025-08-02,,leg extension,seated,nan,2.0,7.0,14.0,,level
2025-08-02,,leg extension,seated,nan,3.0,10.0,14.0,,level
2025-08-02,,leg extension,seated,nan,4.0,10.0,14.0,,level
2025-08-02,,leg extension,seated,nan,5.0,10.0,14.0,,level
2025-08-02,,leg extension,seated,nan,6.0,10.0,14.0,,level
,,nan,nan,nan,,158.0,,,lb
,,nan,nan,nan,,,,,lb
2025-07-31,,bench press,flat,nan,1.0,5.0,45.0,,lb
2025-07-31,,bench press,flat,nan,2.0,5.0,115.0,,lb
2025-07-31,,bench press,flat,nan,3.0,2.0,225.0,,lb
2025-07-31,,bench press,flat,nan,4.0,2.0,215.0,,lb
2025-07-31,,bench press,flat,nan,5.0,4.0,205.0,,lb
2025-07-31,,bench press,flat,nan,6.0,3.0,205.0,,lb
2025-07-31,,bench press,flat,nan,7.0,6.0,185.0,,lb
2025-07-31,,bench press,flat,nan,8.0,4.0,115.0,,lb
2025-07-31,,lat pulldown,wide,nan,1.0,6.0,10.0,,level
2025-07-31,,bench press,incline,nan,1.0,5.0,95.0,,lb
2025-07-31,,lat pulldown,wide,nan,2.0,5.0,13.0,,level
2025-07-31,,bench press,incline,nan,2.0,4.0,165.0,,lb
2025-07-31,,bench press,incline,nan,2.0,2.0,165.0,,lb
2025-07-31,,lat pulldown,wide,nan,3.0,10.0,12.0,,level
2025-07-31,,lat pulldown,wide,nan,4.0,5.0,12.0,,level
2025-07-31,,lat pulldown,reverse,nan,1.0,4.0,12.0,,level
2025-07-31,,bench press,incline,nan,3.0,5.0,145.0,,lb
2025-07-31,,lat pulldown,wide,nan,,10.0,12.0,,level
2025-07-31,,lat pulldown,reverse,nan,,6.0,12.0,,level
2025-07-31,,bench press,incline,nan,,7.0,145.0,,lb
2025-07-31,,bench press,incline,nan,,7.0,145.0,,lb
2025-07-31,,lat pulldown,wide,nan,,7.0,12.0,,level
2025-07-31,,lat pulldown,reverse,nan,,8.0,12.0,,level
2025-07-31,,lever seated row,nan,nan,,5.0,11.0,,level
2025-07-31,,seated chest fly,nan,nan,,6.0,145.0,,lb
2025-07-31,,lever seated row,nan,nan,,3.0,17.0,,level
2025-07-31,,lever seated row,nan,nan,,2.0,16.0,,level
2025-07-31,,seated chest fly,nan,nan,,4.0,205.0,,lb
2025-07-31,,dips,nan,nan,,5.0,0.0,,lb
2025-07-31,,lever seated row,nan,nan,,3.0,17.0,,level
2025-07-31,,lever seated row,nan,nan,,3.0,16.0,,level
2025-07-31,,seated chest fly,nan,nan,,5.0,205.0,,lb
2025-07-31,,dips,nan,nan,,4.0,0.0,,lb
2025-07-31,,lever seated row,nan,nan,,5.0,16.0,,level
2025-07-31,,lever seated row,nan,nan,,3.0,15.0,,level
2025-07-31,,seated chest fly,nan,nan,,5.0,190.0,,lb
2025-07-31,,dips,nan,nan,,5.0,0.0,,lb
2025-07-31,,t-bar row,nan,nan,,5.0,80.0,,lb
2025-07-31,,t-bar row,nan,nan,,5.0,115.0,,lb
2025-07-31,,t-bar row,nan,nan,,6.0,150.0,,lb
2025-07-31,,t-bar row,nan,nan,,6.0,160.0,,lb
2025-07-31,,t-bar row,nan,nan,,5.0,160.0,,lb
2025-07-31,,t-bar row,nan,nan,,5.0,160.0,,lb
2025-07-31,,t-bar row,nan,nan,,5.0,160.0,,lb
